CNPJ,Time
62935643000184,Time 1
61921850000117,Time 1
50911242000105,Time 1
49916055000135,Time 1
60369959000120,Time 1
56924025000136,Time 1
60369537000155,Time 1
49826785000145,Time 1
49947453000119,Time 1
49916151000183,Time 1
56924942000110,Time 1
52351675000189,Time 1
64630838000141,Time 1
48967719000122,Time 1
54837634000122,Time 1
66575588000110,Time 1
57224939000157,Time 1
26360183000140,Time 1
26459204000189,Time 1
35654776000100,Time 1
35654756000139,Time 1
46390186000133,Time 1
46390281000137,Time 1
45755835000190,Time 1
60736775000151,Time 1
62627291000108,Time 1
45523699000102,Time 1
52519160000145,Time 1
51027087000121,Time 1
47542777000141,Time 1
45026487000110,Time 1
42932938000190,Time 1
44002725000194,Time 1
45121179000173,Time 1
39469191000170,Time 1
56073212000153,Time 1
8930397000122,Time 1
41575962000156,Time 1
50089559000108,Time 1
30283448000120,Time 1
56936116000191,Time 1
41218352000103,Time 1
57131490000182,Time 1
60456937000106,Time 1
42336359000184,Time 1
57340272000158,Time 1
37037297000170,Time 1
46285299000179,Time 1
63938673000107,Time 1
39273409000117,Time 1
41195737000194,Time 1
32969565000178,Time 1
61089007000116,Time 1
61927592000186,Time 1
51498070000152,Time 1
30659408000130,Time 1
45495012000172,Time 1
40265649000159,Time 1
45525150000157,Time 1
52355865000174,Time 1
49893516000100,Time 1
63034711000105,Time 1
66218014000194,Time 1
41673359000107,Time 1
44395590000174,Time 1
37037374000191,Time 1
36953080000147,Time 1
42299325000167,Time 1
59283314000191,Time 1
42299337000191,Time 1
63212782000142,Time 1
51388629000191,Time 1
47167918000193,Time 1
63516387000153,Time 1
64039922000195,Time 1
54495443000120,Time 1
39285627000171,Time 1
38355041000173,Time 1
31158712000167,Time 1
52355764000101,Time 1
56125191000172,Time 1
22881521000138,Time 1
41649927000134,Time 1
32969493000169,Time 1
13804852000183,Time 1
46783889000121,Time 1
52756013000199,Time 1
50996316000153,Time 1
39703077000163,Time 1
27944627000157,Time 1
64157229000117,Time 1
16841067000199,Time 1
32156038000144,Time 1
42598117000169,Time 1
50327909000127,Time 1
59791370000137,Time 1
26648752000157,Time 1
24290695000151,Time 1
13072143000150,Time 1
28651441000172,Time 1
32042164000178,Time 1
58570039000124,Time 1
51190919000126,Time 1
58438579000159,Time 1
52966340000175,Time 1
20953316000105,Time 1
58347004000120,Time 1
29970251000180,Time 1
58341346000133,Time 1
39680495000182,Time 1
52498585000115,Time 1
44062556000188,Time 1
28153046000160,Time 1
28651431000137,Time 1
40814799000174,Time 1
42014300000170,Time 1
42932895000142,Time 1
54443336000158,Time 1
55705137000133,Time 1
54980022000194,Time 1
38421626000144,Time 1
42462074000190,Time 1
26208281000166,Time 1
62015452000102,Time 1
29109350000172,Time 1
29469886000107,Time 1
57186320000103,Time 1
61427502000198,Time 1
64168109000115,Time 1
23216640000139,Time 1
49686425000195,Time 1
27974792000151,Time 1
45772950000172,Time 1
47463389000175,Time 1
53969337000178,Time 1
46231978000165,Time 1
53245260000193,Time 1
